geo,Time period,HICP value
Albania,2016,101.51
Albania,2017,104.76
Albania,2018,106.59
Albania,2019,108.39
Albania,2020,110.74
Albania,2021,113.26
Albania,2022,120.69
Albania,2023,127.13
Albania,2024,130.38
Austria,2013,97.77
Austria,2014,99.2
Austria,2015,100.0
Austria,2016,100.97
Austria,2017,103.22
Austria,2018,105.41
Austria,2019,106.98
Austria,2020,108.47
Austria,2021,111.46
Austria,2022,121.07
Austria,2023,130.4
Austria,2024,134.21
Belgium,2013,98.9
Belgium,2014,99.38
Belgium,2015,100.0
Belgium,2016,101.77
Belgium,2017,104.03
Belgium,2018,106.44
Belgium,2019,107.77
Belgium,2020,108.23
Belgium,2021,111.71
Belgium,2022,123.26
Belgium,2023,126.07
Belgium,2024,131.52
Bulgaria,2013,102.72
Bulgaria,2014,101.08
Bulgaria,2015,100.0
Bulgaria,2016,98.68
Bulgaria,2017,99.85
Bulgaria,2018,102.48
Bulgaria,2019,104.99
Bulgaria,2020,106.27
Bulgaria,2021,109.3
Bulgaria,2022,123.52
Bulgaria,2023,134.15
Bulgaria,2024,137.63
Switzerland,2013,100.83
Switzerland,2014,100.84
Switzerland,2015,100.0
Switzerland,2016,99.47
Switzerland,2017,100.11
Switzerland,2018,101.03
Switzerland,2019,101.41
Switzerland,2020,100.56
Switzerland,2021,101.04
Switzerland,2022,103.74
Switzerland,2023,106.1
Switzerland,2024,107.25
Cyprus,2013,101.84
Cyprus,2014,101.57
Cyprus,2015,100.0
Cyprus,2016,98.78
Cyprus,2017,99.45
Cyprus,2018,100.23
Cyprus,2019,100.78
Cyprus,2020,99.67
Cyprus,2021,101.92
Cyprus,2022,110.17
Cyprus,2023,114.5
Cyprus,2024,117.09
Czechia,2013,99.3
Czechia,2014,99.8
Czechia,2015,100.0
Czechia,2016,100.7
Czechia,2017,103.1
Czechia,2018,105.1
Czechia,2019,107.8
Czechia,2020,111.4
Czechia,2021,115.1
Czechia,2022,132.1
Czechia,2023,147.9
Czechia,2024,151.9
Germany,2013,98.6
Germany,2014,99.3
Germany,2015,100.0
Germany,2016,100.4
Germany,2017,102.1
Germany,2018,104.0
Germany,2019,105.5
Germany,2020,105.8
Germany,2021,109.2
Germany,2022,118.7
Germany,2023,125.9
Germany,2024,129.0
Denmark,2013,99.4
Denmark,2014,99.8
Denmark,2015,100.0
Denmark,2016,100.0
Denmark,2017,101.1
Denmark,2018,101.8
Denmark,2019,102.5
Denmark,2020,102.9
Denmark,2021,104.9
Denmark,2022,113.8
Denmark,2023,117.6
Denmark,2024,119.1
Estonia,2013,99.46
Estonia,2014,99.93
Estonia,2015,100.0
Estonia,2016,100.8
Estonia,2017,104.48
Estonia,2018,108.05
Estonia,2019,110.5
Estonia,2020,109.8
Estonia,2021,114.72
Estonia,2022,137.03
Estonia,2023,149.52
Estonia,2024,155.1
Greece,2013,102.54
Greece,2014,101.11
Greece,2015,100.0
Greece,2016,100.02
Greece,2017,101.15
Greece,2018,101.94
Greece,2019,102.46
Greece,2020,101.17
Greece,2021,101.75
Greece,2022,111.21
Greece,2023,115.84
Greece,2024,119.31
Spain,2013,100.83
Spain,2014,100.63
Spain,2015,100.0
Spain,2016,99.66
Spain,2017,101.69
Spain,2018,103.46
Spain,2019,104.26
Spain,2020,103.91
Spain,2021,107.04
Spain,2022,115.95
Spain,2023,119.89
Spain,2024,123.33
Finland,2013,98.96
Finland,2014,100.16
Finland,2015,100.0
Finland,2016,100.39
Finland,2017,101.23
Finland,2018,102.42
Finland,2019,103.58
Finland,2020,103.98
Finland,2021,106.12
Finland,2022,113.74
Finland,2023,118.67
Finland,2024,119.83
France,2013,99.31
France,2014,99.91
France,2015,100.0
France,2016,100.31
France,2017,101.47
France,2018,103.6
France,2019,104.95
France,2020,105.5
France,2021,107.68
France,2022,114.04
France,2023,120.5
France,2024,123.29
Croatia,2013,100.04
Croatia,2014,100.26
Croatia,2015,100.0
Croatia,2016,99.37
Croatia,2017,100.67
Croatia,2018,102.23
Croatia,2019,103.04
Croatia,2020,103.06
Croatia,2021,105.82
Croatia,2022,117.11
Croatia,2023,126.94
Croatia,2024,132.04
Hungary,2013,99.92
Hungary,2014,99.94
Hungary,2015,100.0
Hungary,2016,100.45
Hungary,2017,102.84
Hungary,2018,105.84
Hungary,2019,109.46
Hungary,2020,113.15
Hungary,2021,119.04
Hungary,2022,137.22
Hungary,2023,160.59
Hungary,2024,166.56
Ireland,2013,99.7
Ireland,2014,100.0
Ireland,2015,100.0
Ireland,2016,99.8
Ireland,2017,100.1
Ireland,2018,100.8
Ireland,2019,101.7
Ireland,2020,101.2
Ireland,2021,103.6
Ireland,2022,112.0
Ireland,2023,117.8
Ireland,2024,119.4
Iceland,2013,98.76
Iceland,2014,99.74
Iceland,2015,100.0
Iceland,2016,100.79
Iceland,2017,99.13
Iceland,2018,99.86
Iceland,2019,101.85
Iceland,2020,103.06
Iceland,2021,106.84
Iceland,2022,112.96
Iceland,2023,121.96
Iceland,2024,127.47
Italy,2013,99.7
Italy,2014,99.9
Italy,2015,100.0
Italy,2016,99.9
Italy,2017,101.3
Italy,2018,102.5
Italy,2019,103.2
Italy,2020,103.0
Italy,2021,105.0
Italy,2022,114.2
Italy,2023,120.9
Italy,2024,122.3
Lithuania,2013,100.44
Lithuania,2014,100.68
Lithuania,2015,100.0
Lithuania,2016,100.68
Lithuania,2017,104.42
Lithuania,2018,107.07
Lithuania,2019,109.47
Lithuania,2020,110.63
Lithuania,2021,115.75
Lithuania,2022,137.57
Lithuania,2023,149.52
Lithuania,2024,150.79
Luxembourg,2013,99.25
Luxembourg,2014,99.94
Luxembourg,2015,100.0
Luxembourg,2016,100.04
Luxembourg,2017,102.15
Luxembourg,2018,104.21
Luxembourg,2019,105.93
Luxembourg,2020,105.93
Luxembourg,2021,109.61
Luxembourg,2022,118.55
Luxembourg,2023,122.02
Luxembourg,2024,124.77
Latvia,2013,99.11
Latvia,2014,99.79
Latvia,2015,100.0
Latvia,2016,100.1
Latvia,2017,103.0
Latvia,2018,105.63
Latvia,2019,108.53
Latvia,2020,108.62
Latvia,2021,112.14
Latvia,2022,131.47
Latvia,2023,143.38
Latvia,2024,145.32
Montenegro,2015,100.0
Montenegro,2016,99.93
Montenegro,2017,102.68
Montenegro,2018,105.39
Montenegro,2019,105.94
Montenegro,2020,105.39
Montenegro,2021,108.03
Montenegro,2022,120.92
Montenegro,2023,131.5
Montenegro,2024,136.24
North Macedonia,2013,99.91
North Macedonia,2014,99.87
North Macedonia,2015,100.0
North Macedonia,2016,100.24
North Macedonia,2017,102.35
North Macedonia,2018,104.66
North Macedonia,2019,105.42
North Macedonia,2020,106.73
North Macedonia,2021,110.36
North Macedonia,2022,125.83
North Macedonia,2023,137.15
North Macedonia,2024,142.96
Malta,2013,98.08
Malta,2014,98.84
Malta,2015,100.0
Malta,2016,100.9
Malta,2017,102.18
Malta,2018,103.95
Malta,2019,105.54
Malta,2020,106.37
Malta,2021,107.12
Malta,2022,113.69
Malta,2023,120.01
Malta,2024,122.94
Netherlands,2013,99.47
Netherlands,2014,99.79
Netherlands,2015,100.0
Netherlands,2016,100.11
Netherlands,2017,101.4
Netherlands,2018,103.02
Netherlands,2019,105.78
Netherlands,2020,106.96
Netherlands,2021,109.98
Netherlands,2022,122.78
Netherlands,2023,127.81
Netherlands,2024,131.92
Norway,2013,96.2
Norway,2014,98.0
Norway,2015,100.0
Norway,2016,103.9
Norway,2017,105.8
Norway,2018,109.0
Norway,2019,111.5
Norway,2020,112.8
Norway,2021,117.2
Norway,2022,124.5
Norway,2023,131.6
Norway,2024,135.4
Poland,2013,100.6
Poland,2014,100.7
Poland,2015,100.0
Poland,2016,99.8
Poland,2017,101.4
Poland,2018,102.6
Poland,2019,104.8
Poland,2020,108.6
Poland,2021,114.3
Poland,2022,129.4
Poland,2023,143.5
Poland,2024,148.7
Portugal,2013,99.65
Portugal,2014,99.5
Portugal,2015,100.0
Portugal,2016,100.64
Portugal,2017,102.2
Portugal,2018,103.4
Portugal,2019,103.71
Portugal,2020,103.58
Portugal,2021,104.55
Portugal,2022,113.03
Portugal,2023,118.98
Portugal,2024,122.15
Romania,2013,99.04
Romania,2014,100.41
Romania,2015,100.0
Romania,2016,98.93
Romania,2017,100.0
Romania,2018,104.08
Romania,2019,108.15
Romania,2020,110.67
Romania,2021,115.21
Romania,2022,129.06
Romania,2023,141.64
Romania,2024,149.91
Serbia,2013,96.3
Serbia,2014,98.5
Serbia,2015,100.0
Serbia,2016,101.3
Serbia,2017,104.7
Serbia,2018,106.8
Serbia,2019,108.8
Serbia,2020,110.7
Serbia,2021,115.2
Serbia,2022,128.7
Serbia,2023,144.2
Serbia,2024,151.1
Sweden,2013,99.1
Sweden,2014,99.3
Sweden,2015,100.0
Sweden,2016,101.14
Sweden,2017,103.02
Sweden,2018,105.12
Sweden,2019,106.93
Sweden,2020,107.63
Sweden,2021,110.49
Sweden,2022,119.39
Sweden,2023,126.44
Sweden,2024,128.98
Slovenia,2013,100.4
Slovenia,2014,100.77
Slovenia,2015,100.0
Slovenia,2016,99.85
Slovenia,2017,101.4
Slovenia,2018,103.36
Slovenia,2019,105.11
Slovenia,2020,104.82
Slovenia,2021,106.97
Slovenia,2022,116.94
Slovenia,2023,125.38
Slovenia,2024,127.87
Slovakia,2013,100.45
Slovakia,2014,100.35
Slovakia,2015,100.0
Slovakia,2016,99.52
Slovakia,2017,100.9
Slovakia,2018,103.46
Slovakia,2019,106.33
Slovakia,2020,108.47
Slovakia,2021,111.53
Slovakia,2022,125.05
Slovakia,2023,138.79
Slovakia,2024,143.17
Türkiye,2013,85.22
Türkiye,2014,92.81
Türkiye,2015,100.0
Türkiye,2016,107.66
Türkiye,2017,119.63
Türkiye,2018,139.17
Türkiye,2019,160.3
Türkiye,2020,179.98
Türkiye,2021,215.24
Türkiye,2022,370.82
Türkiye,2023,570.94
Türkiye,2024,905.21
United Kingdom,2013,98.5
United Kingdom,2014,100.0
United Kingdom,2015,100.0
United Kingdom,2016,100.7
United Kingdom,2017,103.4
United Kingdom,2018,105.9
United Kingdom,2019,107.8
United States,2013,99.46
United States,2014,100.76
United States,2015,100.0
United States,2016,100.57
United States,2017,102.34
United States,2018,104.55
United States,2019,105.99
United States,2020,106.8
United States,2021,112.5
United States,2022,122.27
United States,2023,125.94
United States,2024,128.5
Kosovo*,2016,100.27
Kosovo*,2017,101.77
Kosovo*,2018,102.84
Kosovo*,2019,105.59
Kosovo*,2020,105.8
Kosovo*,2021,109.35
Kosovo*,2022,122.01
Kosovo*,2023,128.04
Kosovo*,2024,130.12
