reason,apprehen,geo,TIME_PERIOD,Migrants number,Migrants number per 100k inhabitants
Illegal entry,Between border crossing points - at land,Austria,2021,0,0.0
Illegal entry,Between border crossing points - at land,Austria,2022,0,0.0
Illegal entry,Between border crossing points - at land,Belgium,2021,0,0.0
Illegal entry,Between border crossing points - at land,Belgium,2022,0,0.0
Illegal entry,Between border crossing points - at land,Belgium,2023,0,0.0
Illegal entry,Between border crossing points - at land,Bulgaria,2021,880,13.47
Illegal entry,Between border crossing points - at land,Bulgaria,2022,5645,87.08
Illegal entry,Between border crossing points - at land,Bulgaria,2023,3795,58.86
Illegal entry,Between border crossing points - at land,Switzerland,2020,0,0.0
Illegal entry,Between border crossing points - at land,Switzerland,2021,0,0.0
Illegal entry,Between border crossing points - at land,Switzerland,2022,0,0.0
Illegal entry,Between border crossing points - at land,Switzerland,2023,0,0.0
Illegal entry,Between border crossing points - at land,Cyprus,2021,0,0.0
Illegal entry,Between border crossing points - at land,Cyprus,2022,0,0.0
Illegal entry,Between border crossing points - at land,Cyprus,2023,5670,615.84
Illegal entry,Between border crossing points - at land,Czechia,2021,0,0.0
Illegal entry,Between border crossing points - at land,Czechia,2022,0,0.0
Illegal entry,Between border crossing points - at land,Czechia,2023,0,0.0
Illegal entry,Between border crossing points - at land,Germany,2021,0,0.0
Illegal entry,Between border crossing points - at land,Germany,2022,0,0.0
Illegal entry,Between border crossing points - at land,Germany,2023,0,0.0
Illegal entry,Between border crossing points - at land,Denmark,2021,0,0.0
Illegal entry,Between border crossing points - at land,Denmark,2022,0,0.0
Illegal entry,Between border crossing points - at land,Denmark,2023,0,0.0
Illegal entry,Between border crossing points - at land,Estonia,2021,0,0.0
Illegal entry,Between border crossing points - at land,Estonia,2022,5,0.38
Illegal entry,Between border crossing points - at land,Estonia,2023,10,0.73
Illegal entry,Between border crossing points - at land,Greece,2021,6035,56.51
Illegal entry,Between border crossing points - at land,Greece,2022,7165,68.5
Illegal entry,Between border crossing points - at land,Greece,2023,7620,73.17
Illegal entry,Between border crossing points - at land,Spain,2021,0,0.0
Illegal entry,Between border crossing points - at land,Spain,2022,0,0.0
Illegal entry,Between border crossing points - at land,Spain,2023,0,0.0
Illegal entry,Between border crossing points - at land,European Union - 27 countries (from 2020),2023,121010,
Illegal entry,Between border crossing points - at land,Finland,2021,0,0.0
Illegal entry,Between border crossing points - at land,Finland,2022,0,0.0
Illegal entry,Between border crossing points - at land,Finland,2023,15,0.27
Illegal entry,Between border crossing points - at land,France,2023,0,0.0
Illegal entry,Between border crossing points - at land,Croatia,2021,1160,29.8
Illegal entry,Between border crossing points - at land,Croatia,2022,11680,302.41
Illegal entry,Between border crossing points - at land,Croatia,2023,12160,315.77
Illegal entry,Between border crossing points - at land,Hungary,2021,61295,635.09
Illegal entry,Between border crossing points - at land,Hungary,2022,132595,1379.7
Illegal entry,Between border crossing points - at land,Hungary,2023,90310,940.75
Illegal entry,Between border crossing points - at land,Ireland,2019,0,0.0
Illegal entry,Between border crossing points - at land,Ireland,2020,0,0.0
Illegal entry,Between border crossing points - at land,Ireland,2021,0,0.0
Illegal entry,Between border crossing points - at land,Ireland,2022,0,0.0
Illegal entry,Between border crossing points - at land,Ireland,2023,0,0.0
Illegal entry,Between border crossing points - at land,Iceland,2021,0,0.0
Illegal entry,Between border crossing points - at land,Italy,2021,0,0.0
Illegal entry,Between border crossing points - at land,Italy,2022,0,0.0
Illegal entry,Between border crossing points - at land,Italy,2023,0,0.0
Illegal entry,Between border crossing points - at land,Liechtenstein,2021,0,0.0
Illegal entry,Between border crossing points - at land,Liechtenstein,2022,0,0.0
Illegal entry,Between border crossing points - at land,Liechtenstein,2023,0,0.0
Illegal entry,Between border crossing points - at land,Lithuania,2021,0,0.0
Illegal entry,Between border crossing points - at land,Lithuania,2022,0,0.0
Illegal entry,Between border crossing points - at land,Lithuania,2023,0,0.0
Illegal entry,Between border crossing points - at land,Luxembourg,2021,0,0.0
Illegal entry,Between border crossing points - at land,Luxembourg,2022,0,0.0
Illegal entry,Between border crossing points - at land,Luxembourg,2023,0,0.0
Illegal entry,Between border crossing points - at land,Latvia,2021,50,2.64
Illegal entry,Between border crossing points - at land,Latvia,2022,240,12.79
Illegal entry,Between border crossing points - at land,Latvia,2023,10,0.53
Illegal entry,Between border crossing points - at land,Montenegro,2021,5,0.81
Illegal entry,Between border crossing points - at land,Montenegro,2022,15,2.43
Illegal entry,Between border crossing points - at land,Montenegro,2023,10,1.62
Illegal entry,Between border crossing points - at land,Malta,2021,0,0.0
Illegal entry,Between border crossing points - at land,Malta,2022,0,0.0
Illegal entry,Between border crossing points - at land,Malta,2023,0,0.0
Illegal entry,Between border crossing points - at land,Netherlands,2021,0,0.0
Illegal entry,Between border crossing points - at land,Netherlands,2022,0,0.0
Illegal entry,Between border crossing points - at land,Netherlands,2023,0,0.0
Illegal entry,Between border crossing points - at land,Norway,2021,0,0.0
Illegal entry,Between border crossing points - at land,Norway,2022,0,0.0
Illegal entry,Between border crossing points - at land,Poland,2021,2890,7.8
Illegal entry,Between border crossing points - at land,Poland,2022,20,0.05
Illegal entry,Between border crossing points - at land,Poland,2023,10,0.03
Illegal entry,Between border crossing points - at land,Portugal,2021,0,0.0
Illegal entry,Between border crossing points - at land,Portugal,2022,0,0.0
Illegal entry,Between border crossing points - at land,Portugal,2023,0,0.0
Illegal entry,Between border crossing points - at land,Romania,2021,0,0.0
Illegal entry,Between border crossing points - at land,Romania,2022,1775,9.32
Illegal entry,Between border crossing points - at land,Romania,2023,765,4.01
Illegal entry,Between border crossing points - at land,Sweden,2021,0,0.0
Illegal entry,Between border crossing points - at land,Sweden,2022,0,0.0
Illegal entry,Between border crossing points - at land,Sweden,2023,0,0.0
Illegal entry,Between border crossing points - at land,Slovenia,2021,7865,372.93
Illegal entry,Between border crossing points - at land,Slovenia,2022,29655,1407.33
Illegal entry,Between border crossing points - at land,Slovenia,2023,0,0.0
Illegal entry,Between border crossing points - at land,Slovakia,2021,190,3.48
Illegal entry,Between border crossing points - at land,Slovakia,2022,530,9.75
Illegal entry,Between border crossing points - at land,Slovakia,2023,650,11.97
Illegal entry,Between border crossing points - at sea,Austria,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Austria,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Belgium,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Belgium,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Belgium,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Bulgaria,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Bulgaria,2022,55,0.85
Illegal entry,Between border crossing points - at sea,Bulgaria,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Switzerland,2020,0,0.0
Illegal entry,Between border crossing points - at sea,Switzerland,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Switzerland,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Switzerland,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Cyprus,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Cyprus,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Cyprus,2023,15,1.63
Illegal entry,Between border crossing points - at sea,Czechia,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Czechia,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Czechia,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Germany,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Germany,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Germany,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Denmark,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Denmark,2022,5,0.09
Illegal entry,Between border crossing points - at sea,Denmark,2023,5,0.08
Illegal entry,Between border crossing points - at sea,Estonia,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Estonia,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Estonia,2023,0,0.0
Illegal entry,Between border crossing points - at sea,Greece,2021,4800,44.95
Illegal entry,Between border crossing points - at sea,Greece,2022,13105,125.29
Illegal entry,Between border crossing points - at sea,Greece,2023,41715,400.57
Illegal entry,Between border crossing points - at sea,Spain,2021,0,0.0
Illegal entry,Between border crossing points - at sea,Spain,2022,0,0.0
Illegal entry,Between border crossing points - at sea,Spain,2023,0,0.0
Illegal entry,Between border crossing points - at sea,European Union - 27 countries (from 2020),2021,72285,
